Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,66006,1921,3,86.1,Y
IDCJAC0001,66006,1921,4,152,Y
IDCJAC0001,66006,1921,5,184,Y
IDCJAC0001,66006,1921,6,24.2,Y
IDCJAC0001,66006,1921,7,198.4,Y
IDCJAC0001,66006,1921,8,30.5,Y
IDCJAC0001,66006,1921,9,73.1,Y
IDCJAC0001,66006,1921,10,82.7,Y
IDCJAC0001,66006,1921,11,71.6,Y
IDCJAC0001,66006,1921,12,134.4,Y
IDCJAC0001,66006,1922,1,182.3,Y
IDCJAC0001,66006,1922,2,56.8,Y
IDCJAC0001,66006,1922,3,49.9,Y
IDCJAC0001,66006,1922,4,38.3,Y
IDCJAC0001,66006,1922,5,106.7,Y
IDCJAC0001,66006,1922,6,43,Y
IDCJAC0001,66006,1922,7,291.4,Y
IDCJAC0001,66006,1922,8,52.4,Y
IDCJAC0001,66006,1922,9,105.9,Y
IDCJAC0001,66006,1922,10,87.7,Y
IDCJAC0001,66006,1922,11,10.9,Y
IDCJAC0001,66006,1922,12,38.4,Y
IDCJAC0001,66006,1923,1,43.2,Y
IDCJAC0001,66006,1923,2,19.5,Y
IDCJAC0001,66006,1923,3,51.8,Y
IDCJAC0001,66006,1923,4,257.2,Y
IDCJAC0001,66006,1923,5,26,Y
IDCJAC0001,66006,1923,6,102,Y
IDCJAC0001,66006,1923,7,161.2,Y
IDCJAC0001,66006,1923,8,105.8,Y
IDCJAC0001,66006,1923,9,63.7,Y
IDCJAC0001,66006,1923,10,34,Y
IDCJAC0001,66006,1923,11,41.5,Y
IDCJAC0001,66006,1923,12,35,Y
IDCJAC0001,66006,1924,1,93.7,Y
IDCJAC0001,66006,1924,2,57.8,Y
IDCJAC0001,66006,1924,3,96.5,Y
IDCJAC0001,66006,1924,4,168.7,Y
IDCJAC0001,66006,1924,5,83,Y
IDCJAC0001,66006,1924,6,50.7,Y
IDCJAC0001,66006,1924,7,41.2,Y
IDCJAC0001,66006,1924,8,65.7,Y
IDCJAC0001,66006,1924,9,74.9,Y
IDCJAC0001,66006,1924,10,32.8,Y
IDCJAC0001,66006,1924,11,82.8,Y
IDCJAC0001,66006,1924,12,66.2,Y
IDCJAC0001,66006,1925,1,114.3,Y
IDCJAC0001,66006,1925,2,48.3,Y
IDCJAC0001,66006,1925,3,68.5,Y
IDCJAC0001,66006,1925,4,54.2,Y
IDCJAC0001,66006,1925,5,536.6,Y
IDCJAC0001,66006,1925,6,171,Y
IDCJAC0001,66006,1925,7,5.4,Y
IDCJAC0001,66006,1925,8,96.7,Y
IDCJAC0001,66006,1925,9,15.7,Y
IDCJAC0001,66006,1925,10,16.6,Y
IDCJAC0001,66006,1925,11,99,Y
IDCJAC0001,66006,1925,12,30.8,Y
IDCJAC0001,66006,1926,1,89,Y
IDCJAC0001,66006,1926,2,26.2,Y
IDCJAC0001,66006,1926,3,317.6,Y
IDCJAC0001,66006,1926,4,92.3,Y
IDCJAC0001,66006,1926,5,69.4,Y
IDCJAC0001,66006,1926,6,33.2,Y
IDCJAC0001,66006,1926,7,58.4,Y
IDCJAC0001,66006,1926,8,26.7,Y
IDCJAC0001,66006,1926,9,43.3,Y
IDCJAC0001,66006,1926,10,7.6,Y
IDCJAC0001,66006,1926,11,0.5,Y
IDCJAC0001,66006,1926,12,172.2,Y
IDCJAC0001,66006,1927,1,104.2,Y
IDCJAC0001,66006,1927,2,16.5,Y
IDCJAC0001,66006,1927,3,105,Y
IDCJAC0001,66006,1927,4,455.2,Y
IDCJAC0001,66006,1927,5,54.5,Y
IDCJAC0001,66006,1927,6,112.6,Y
IDCJAC0001,66006,1927,7,8.4,Y
IDCJAC0001,66006,1927,8,7.8,Y
